"simid","pid","position","is_rita","time_infected","time_diagnosed","time_sequenced","IT_growth","IT_rita","delay_from_infection_growth","delay_from_infection_rita","diff_from_infection","delay_from_diagnosis_growth","delay_from_diagnosis_rita","diff_from_diagnosis","delay_from_sequencing_growth","time_saved_by_rita"
"1093","0.2",1,FALSE,1741.23440378202,4168.71080801554,4183.14080311853,4325.96895088116,4182.71080801554,2584.73454709914,2441.47640423352,143.258142865624,157.258142865624,14,143.258142865624,142.828147762633,NA
"1093","0.2.2.1",2,FALSE,3151.11398500356,4195.24011907594,4218.64701382365,4325.96895088116,4209.24011907594,1174.8549658776,1058.12613407238,116.728831805221,130.728831805221,14,116.728831805221,107.321937057514,NA
"1093","0.2.2.3.2",3,TRUE,4244.42120437507,4266.87611035586,4270.13964033683,4325.96895088116,4280.87611035586,81.5477465060958,36.4549059807987,45.0928405252971,59.0928405252971,14,45.0928405252971,55.8293105443327,45.0928405252971
"1093","0.2.4.2",4,FALSE,3906.38694113659,4283.75624163949,4288.60679787682,4325.96895088116,4297.75624163949,419.582009744572,391.369300502896,28.2127092416758,42.2127092416758,14,28.2127092416758,37.3621530043465,NA
"1093","0.2.2.3",5,FALSE,3983.5747027993,4297.8610066233,4297.96895088116,4325.96895088116,4311.8610066233,342.394248081861,328.286303823999,14.1079442578621,28.1079442578621,14,14.1079442578621,28,NA
"1371","0.3.1.1.1",1,FALSE,2995.28915813545,4229.35334668827,4238.08601942213,4338.22829580071,4243.35334668827,1342.93913766526,1248.06418855281,94.8749491124408,108.874949112441,14,94.8749491124408,100.14227637858,NA
"1371","0.3.1.3.1",2,FALSE,3591.39838099462,4223.74318377876,4242.61540169939,4338.22829580071,4237.74318377876,746.829914806089,646.344802784141,100.485112021947,114.485112021947,14,100.485112021947,95.6128941013167,NA
"1371","0.3.2.1",3,FALSE,2705.35207262395,4279.19974958083,4295.14260346629,4338.22829580071,4293.19974958083,1632.87622317676,1587.84767695688,45.0285462198763,59.0285462198763,14,45.0285462198763,43.0856923344154,NA
"1371","0.3.2",4,FALSE,2623.97844221855,4300.89495732427,4301.93609957428,4338.22829580071,4314.89495732427,1714.24985358215,1690.91651510572,23.3333384764355,37.3333384764355,14,23.3333384764355,36.2921962264272,NA
"1371","0.3.1.3.1.2",5,TRUE,3985.06917163966,4309.90382203206,4310.22829580071,4338.22829580071,4323.90382203206,353.159124161048,338.834650392399,14.3244737686491,28.3244737686491,14,14.3244737686491,28,14.3244737686491
"1996","0.1.2.1.1",1,FALSE,1880.22210809647,2644.94702644123,2664.59888196354,2810.70534269098,2658.94702644123,930.483234594511,778.724918344768,151.758316249744,165.758316249744,14,151.758316249744,146.106460727439,NA
"1996","0.1.3.2",2,FALSE,1253.88104770269,2659.57145185506,2711.67033285461,2810.70534269098,2673.57145185506,1556.82429498828,1419.69040415237,137.133890835918,151.133890835918,14,137.133890835918,99.0350098363642,NA
"1996","0.1.5.1",3,FALSE,2446.3955430611,2647.7409796057,2723.51594941293,2810.70534269098,2661.7409796057,364.309799629877,215.345436544602,148.964363085275,162.964363085275,14,148.964363085275,87.1893932780522,NA
"1996","0.1",4,FALSE,151.719582730652,2688.05857002264,2732.46352584928,2810.70534269098,2702.05857002264,2658.98575996033,2550.33898729199,108.646772668337,122.646772668337,14,108.646772668337,78.2418168416998,NA
"1996","0.1.3",5,FALSE,963.058862011776,2759.835766711,2782.70534269098,2810.70534269098,2773.835766711,1847.6464806792,1810.77690469923,36.8695759799771,50.8695759799771,14,36.8695759799771,28,NA
"2805","0.4",1,FALSE,558.600976890262,679.928779828602,721.316953605177,871.771817134517,693.928779828602,313.170840244255,135.32780293834,177.843037305915,191.843037305915,14,177.843037305915,150.45486352934,NA
"2805","0.1.1.3",2,TRUE,695.722557769528,706.828385009585,728.331662538812,871.771817134517,720.828385009585,176.049259364989,25.1058272400569,150.943432124932,164.943432124932,14,150.943432124932,143.440154595705,150.943432124932
"2805","0.1.1.1.2",3,FALSE,708.951480474438,808.265943596927,812.272334623796,871.771817134517,822.265943596927,162.820336660079,113.314463122489,49.50587353759,63.50587353759,14,49.50587353759,59.4994825107209,NA
"2805","0.1.1.2",4,TRUE,658.896508437535,823.29488386615,827.230311822744,871.771817134517,837.29488386615,212.875308696982,178.398375428615,34.4769332683668,48.4769332683668,14,34.4769332683668,44.5415053117724,34.4769332683668
"2805","0.3.3",5,TRUE,729.757342334135,843.21443245901,843.771817134517,871.771817134517,857.21443245901,142.014474800382,127.457090124875,14.5573846755071,28.5573846755071,14,14.5573846755071,28,14.5573846755071
"3247","0.1.1.5.2.1",1,TRUE,3754.97208353448,3897.8134479852,3955.66850885566,4125.05101422869,3911.8134479852,370.078930694207,156.841364450713,213.237566243494,227.237566243494,14,213.237566243494,169.382505373025,213.237566243494
"3247","0.1.1.5",2,FALSE,2435.39081217039,3978.13784772777,3980.38268690095,4125.05101422869,3992.13784772777,1689.6602020583,1556.74703555739,132.913166500914,146.913166500914,14,132.913166500914,144.66832732774,NA
"3247","0.1.1.6.1",3,FALSE,3081.71885265053,3955.06479796989,3986.98718566943,4125.05101422869,3969.06479796989,1043.33216157816,887.345945319359,155.986216258797,169.986216258797,14,155.986216258797,138.063828559261,NA
"3247","0.1.1.4.1.1",4,FALSE,3008.85701074029,3988.80493586916,4017.82214909287,4125.05101422869,4002.80493586916,1116.1940034884,993.947925128873,122.246078359531,136.246078359531,14,122.246078359531,107.228865135818,NA
"3247","0.1.1.6.1.2",5,FALSE,3794.92482862759,4067.64695571239,4097.05101422869,4125.05101422869,4081.64695571239,330.126185601104,286.722127084801,43.4040585163025,57.4040585163025,14,43.4040585163025,28,NA
"3972","0.3.1.4",1,TRUE,2226.63983370295,2408.65881666821,2445.03985948606,2617.44035337194,2422.65881666821,390.800519668991,196.018982965256,194.781536703735,208.781536703735,14,194.781536703735,172.40049388588,194.781536703735
"3972","0.2.2",2,FALSE,1526.94091583677,2499.09009720349,2527.02651001929,2617.44035337194,2513.09009720349,1090.49943753517,986.149181366711,104.350256168456,118.350256168456,14,104.350256168456,90.4138433526487,NA
"3972","0.3.1.3.1",3,FALSE,1598.05849794059,2511.62490586382,2535.85418761956,2617.44035337194,2525.62490586382,1019.38185543135,927.566407923225,91.8154475081237,105.815447508124,14,91.8154475081237,81.586165752381,NA
"3972","0.2.2.2",4,TRUE,2366.10904025173,2517.95258420113,2536.3691449775,2617.44035337194,2531.95258420113,251.33131312021,165.8435439494,85.4877691708107,99.4877691708107,14,85.4877691708107,81.0712083944441,85.4877691708107
"3972","0.3.1",5,FALSE,1033.99926914876,2489.78469840092,2589.44035337194,2617.44035337194,2503.78469840092,1583.44108422318,1469.78542925215,113.655654971026,127.655654971026,14,113.655654971026,28,NA
"4803","0.5.1",1,TRUE,1855.22170914878,1878.32298256793,1893.75245069512,2086.81009016474,1892.32298256793,231.588381015969,37.1012734191531,194.487107596816,208.487107596816,14,194.487107596816,193.057639469622,194.487107596816
"4803","0.2.1",2,FALSE,582.779875060001,1942.75760425257,1951.749050903,2086.81009016474,1956.75760425257,1504.03021510474,1373.97772919257,130.052485912178,144.052485912178,14,130.052485912178,135.061039261746,NA
"4803","0.2",3,FALSE,198.302594705999,1989.32398095632,2021.05287219052,2086.81009016474,2003.32398095632,1888.50749545875,1805.02138625032,83.486109208427,97.486109208427,14,83.486109208427,65.7572179742222,NA
"4803","0.3.1.2.1",4,TRUE,1790.92698598604,2014.91085814036,2021.32059354296,2086.81009016474,2028.91085814036,295.883104178706,237.98387215432,57.8992320243865,71.8992320243865,14,57.8992320243865,65.4894966217828,57.8992320243865
"4803","0.4",5,FALSE,979.842092978639,2038.7628555155,2058.81009016474,2086.81009016474,2052.7628555155,1106.96799718611,1072.92076253687,34.0472346492402,48.0472346492402,14,34.0472346492402,28,NA
"5835","0.4.2.2.2",1,FALSE,2859.70517981982,3347.20779780779,3353.36838112082,3553.89686041754,3361.20779780779,694.191680597719,501.502617987968,192.689062609751,206.689062609751,14,192.689062609751,200.52847929672,NA
"5835","0.5.4",2,FALSE,3093.70761766456,3395.69242932423,3396.2655807068,3553.89686041754,3409.69242932423,460.189242752983,315.984811659667,144.204431093316,158.204431093316,14,144.204431093316,157.631279710748,NA
"5835","0.2.1",3,FALSE,613.846400983979,3409.64613613099,3461.33410153071,3553.89686041754,3423.64613613099,2940.05045943357,2809.79973514701,130.250724286554,144.250724286554,14,130.250724286554,92.5627588868379,NA
"5835","0.4.2.2",4,FALSE,2759.21607014714,3488.79995132485,3503.36437244636,3553.89686041754,3502.79995132485,794.6807902704,743.58388117771,51.0969090926897,65.0969090926897,14,51.0969090926897,50.5324879711875,NA
"5835","0.5.5",5,TRUE,3408.69914743685,3445.00609812471,3525.89686041754,3553.89686041754,3459.00609812471,145.19771298069,50.3069506878574,94.8907622928323,108.890762292832,14,94.8907622928323,28,94.8907622928323
"6243","0.3.1.2",1,FALSE,967.437546642202,1278.21725516467,1291.03325889133,1402.12673677043,1292.21725516467,434.689190128233,324.779708522471,109.909481605762,123.909481605762,14,109.909481605762,111.093477879102,NA
"6243","0.3.1",2,FALSE,786.16944937779,1282.84510431324,1304.89925611209,1402.12673677043,1296.84510431324,615.957287392645,510.675654935449,105.281632457196,119.281632457196,14,105.281632457196,97.2274806583494,NA
"6243","0.1",3,FALSE,141.561966991171,1300.68332833686,1315.08860002658,1402.12673677043,1314.68332833686,1260.56476977926,1173.12136134568,87.4434084335794,101.443408433579,14,87.4434084335794,87.0381367438526,NA
"6243","0.1.1.3.1",4,FALSE,825.023373929994,1330.1365486752,1332.64082303498,1402.12673677043,1344.1365486752,577.103362840441,519.113174745206,57.9901880952348,71.9901880952348,14,57.9901880952348,69.4859137354508,NA
"6243","0.3.2",5,FALSE,791.367931617313,1357.3206101558,1374.12673677043,1402.12673677043,1371.3206101558,610.758805153121,579.952678538487,30.8061266146342,44.8061266146342,14,30.8061266146342,28,NA
"7397","0.4.1.2",1,FALSE,1983.66663703027,2510.33534038207,2526.09379567391,2695.95343015861,2524.33534038207,712.286793128343,540.668703351799,171.618089776544,185.618089776544,14,171.618089776544,169.859634484696,NA
"7397","0.4.1.3",2,FALSE,2156.20737753433,2525.80728795463,2539.86828052468,2695.95343015861,2539.80728795463,539.746052624278,383.599910420299,156.146142203978,170.146142203978,14,156.146142203978,156.085149633933,NA
"7397","0.2.2.1",3,FALSE,1145.15775554211,2563.72493745642,2570.72781041343,2695.95343015861,2577.72493745642,1550.7956746165,1432.56718191431,118.228492702185,132.228492702185,14,118.228492702185,125.225619745183,NA
"7397","0.2.1",4,FALSE,656.562310413865,2661.73413041078,2666.24383665998,2695.95343015861,2675.73413041078,2039.39111974474,2019.17181999692,20.2192997478251,34.2192997478251,14,20.2192997478251,29.7095934986337,NA
"7397","0.2.4.2",5,FALSE,1328.27375198837,2656.62624301982,2667.95343015861,2695.95343015861,2670.62624301982,1367.67967817024,1342.35249103145,25.3271871387915,39.3271871387915,14,25.3271871387915,28,NA
"8314","0.1.3.1",1,FALSE,1433.1774544064,2552.11219634774,2557.4401931201,2747.04577339136,2566.11219634774,1313.86831898496,1132.93474194134,180.933577043623,194.933577043623,14,180.933577043623,189.605580271258,NA
"8314","0.1.2.2.1.2",2,FALSE,1927.6986669366,2581.31617626064,2601.01661786714,2747.04577339136,2595.31617626064,819.347106454766,667.617509324039,151.729597130727,165.729597130727,14,151.729597130727,146.029155524217,NA
"8314","0.1.3.1.1.2",3,TRUE,2536.40747176862,2640.30252616289,2644.88395797048,2747.04577339136,2654.30252616289,210.63830162274,117.895054394269,92.7432472284704,106.74324722847,14,92.7432472284704,102.161815420882,92.7432472284704
"8314","0.1.2.1",4,FALSE,1060.09493239116,2696.91114062437,2713.29222531145,2747.04577339136,2710.91114062437,1686.9508410002,1650.81620823321,36.134632766988,50.134632766988,14,36.134632766988,33.7535480799138,NA
"8314","0.1.3.1.1",5,FALSE,1768.40098045659,2711.19020968516,2719.04577339136,2747.04577339136,2725.19020968516,978.644792934774,956.789229228576,21.8555637061972,35.8555637061972,14,21.8555637061972,28,NA
"9028","0.1.1.1",1,FALSE,2190.16686921358,4235.78685137639,4248.96311857244,4438.80800574263,4249.78685137639,2248.64113652905,2059.61998216281,189.021154366234,203.021154366234,14,189.021154366234,189.844887170193,NA
"9028","0.2.1.5.1.1",2,FALSE,3772.10558174793,4323.52129817297,4352.72082767142,4438.80800574263,4337.52129817297,666.702423994703,565.415716425047,101.286707569656,115.286707569656,14,101.286707569656,86.0871780712114,NA
"9028","0.1.1.1.2",3,FALSE,3652.9224911163,4374.61033681831,4378.86387503059,4438.80800574263,4388.61033681831,785.885514626327,735.687845702008,50.1976689243184,64.1976689243184,14,50.1976689243184,59.9441307120387,NA
"9028","0.2.1.5.5",4,FALSE,4199.68116034253,4393.94445722269,4398.22899232506,4438.80800574263,4407.94445722269,239.126845400103,208.263296880164,30.8635485199384,44.8635485199384,14,30.8635485199384,40.5790134175704,NA
"9028","0.2.1.3",5,FALSE,3512.97473604835,4403.75695974341,4410.80800574263,4438.80800574263,4417.75695974341,925.833269694282,904.782223695061,21.0510459992202,35.0510459992202,14,21.0510459992202,28,NA
"9509","0.2",1,FALSE,308.423303293652,1428.03571910063,1436.79686228946,1580.84694455726,1442.03571910063,1272.42364126361,1133.61241580698,138.811225456635,152.811225456635,14,138.811225456635,144.050082267805,NA
"9509","0.1.1",2,FALSE,894.347479014897,1374.67260801563,1439.78259029571,1580.84694455726,1388.67260801563,686.499465542367,494.325129000736,192.174336541631,206.174336541631,14,192.174336541631,141.064354261554,NA
"9509","0.1.1.2",3,FALSE,993.588526961868,1436.33566363314,1490.75077982416,1580.84694455726,1450.33566363314,587.258417595397,456.747136671274,130.511280924123,144.511280924123,14,130.511280924123,90.0961647331014,NA
"9509","0.2.1",4,TRUE,1423.60045099023,1513.52000238492,1533.50220894293,1580.84694455726,1527.52000238492,157.246493567036,103.919551394693,53.3269421723423,67.3269421723423,14,53.3269421723423,47.3447356143395,53.3269421723423
"9509","0.1.2",5,FALSE,1124.74369373382,1524.68371383569,1552.84694455726,1580.84694455726,1538.68371383569,456.103250823449,413.940020101872,42.1632307215773,56.1632307215773,14,42.1632307215773,28,NA
"9655","0.2.6",1,FALSE,2830.83871811807,4507.50133729306,4552.11582371452,4738.08005147262,4521.50133729306,1907.24133335454,1690.66261917499,216.578714179554,230.578714179554,14,216.578714179554,185.964227758094,NA
"9655","0.3.2.1",2,FALSE,3557.79283034953,4502.85756811195,4553.20256262892,4738.08005147262,4516.85756811195,1180.28722112308,959.064737762423,221.222483360661,235.222483360661,14,221.222483360661,184.877488843694,NA
"9655","0.3.2.1.3",3,FALSE,4373.60769363771,4583.54443535245,4602.04192063888,4738.08005147262,4597.54443535245,364.472357834908,223.93674171474,140.535616120168,154.535616120168,14,140.535616120168,136.038130833732,NA
"9655","0.3.3.1",4,FALSE,3707.52491416679,4680.15425235592,4709.29970536179,4738.08005147262,4694.15425235592,1030.55513730582,986.629338189128,43.925799116696,57.925799116696,14,43.925799116696,28.7803461108233,NA
"9655","0.3.2.1.2",5,FALSE,3774.52598501198,4683.76223949071,4710.08005147262,4738.08005147262,4697.76223949071,963.554066460636,923.236254478726,40.3178119819095,54.3178119819095,14,40.3178119819095,28,NA
